"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-4.06503063121139,2.09148755922165,-1.94360736849144,0.0519428165854478
"activity_ratio",-5.64623637513036,2.53404312245559,-2.22815323271174,0.025870298505018
"active_days",0.0228742134164505,0.0183377965608799,1.24738069486757,0.212257941710717
"median_weekly_devoted_days",0.751539106537219,0.372273992829021,2.01877950384353,0.0435101422823635
"periodicity",0.60137866586338,0.275469804240342,2.18310194658827,0.0290283032694111
"periodicity_variation",0.0189533873650361,0.0115480831297632,1.6412583068602,0.100743806865443
"upper_area",-0.000258213295619221,0.00050828716434051,-0.5080067208745,0.611448629889836
"upper_n_poly",0.0690277854860354,0.265730549107277,0.259766089062528,0.79504421019848
"ratio",3.46801243501647,6.07144594554597,0.571200413562211,0.567863797920005
